hashtag,GRUENE,LINKE,CDUCSU,SPD,AFD,FDP
00,0,1,0,0,4,0
000,0,4,0,0,1,1
01,1,0,0,0,2,0
021,0,0,0,0,1,0
03,1,0,0,0,3,0
04,0,0,0,0,1,0
06,0,0,0,0,1,0
07,0,0,0,0,1,0
08,0,0,0,0,2,0
08märz,0,1,0,0,0,0
09,0,0,0,0,2,0
10,2,1,0,1,5,1
100,0,4,3,0,1,1
1000,0,2,0,0,0,0
1008,0,1,0,0,0,0
10jährigen,1,0,0,0,0,0
11,0,0,0,0,1,0
111,0,1,0,0,0,0
1192,0,1,0,0,0,0
12,1,2,0,0,3,0
1207445,1,0,0,0,0,0
13,1,0,0,0,0,0
14,0,0,0,0,1,0
15,0,0,0,0,1,0
16,0,0,0,1,0,0
17,0,2,0,0,0,0
179,0,0,0,0,1,0
1793,0,0,0,0,1,0
18,1,2,2,2,2,2
1800bn,0,0,0,2,0,0
181,1,0,0,0,0,0
186,0,0,0,0,1,0
19,4,4,0,1,6,0
190,0,0,0,0,1,0
1989,0,1,0,0,0,0
1st,0,0,0,1,0,0
20,1,3,1,0,1,0
200,0,0,0,0,1,0
2000,1,1,0,0,0,0
2007,1,0,0,0,0,0
2008,0,1,0,0,0,0
201,1,0,0,0,0,0
2011,0,1,0,0,0,0
2013,0,1,0,0,1,0
2014,0,1,0,0,0,0
2016,0,1,0,0,0,0
2018,0,1,0,0,3,0
2019,2,5,1,0,3,0
2020,2,4,1,2,2,1
2020ern,0,0,1,0,0,0
2021,1,2,0,0,3,1
2021bundestagswahlen,0,0,0,0,1,0
20jahren,0,0,0,0,1,0
20juli,0,0,0,0,1,0
20min,1,0,0,0,0,0
21,5,3,0,2,4,1
218,0,1,0,0,0,0
219a,0,1,0,0,0,0
219amussweg,1,0,0,0,0,0
22,0,1,0,0,3,0
23,0,1,0,0,0,0
24,0,0,1,0,0,0
25,0,3,0,0,0,0
250,0,0,0,1,0,0
26,0,0,0,0,2,0
27,0,1,0,0,1,0
275,0,1,0,0,0,0
28,0,2,0,0,0,0
30,0,0,0,0,1,3
300,1,0,0,0,0,1
3000,0,1,0,0,0,0
