hashtag,GRUENE,LINKE,CDUCSU,SPD,AFD,FDP
#demokratie,1,1,0,1,2,0
#denktdochmalnach,0,0,0,0,1,0
#deutsche,0,0,0,1,0,0
#deutschesprache,0,0,2,1,1,0
#deutschland,0,1,1,0,7,0
#deutschlandabernormal,0,0,0,0,6,0
#deutschlandfunk,0,0,1,0,1,0
#dfb,0,0,0,0,1,0
#diegruenen,0,0,0,0,0,1
#diehälftedermacht,1,0,0,0,0,0
#dielinke,0,0,0,0,1,0
#diemannschaft,0,0,0,0,1,0
#diesel,0,0,0,0,1,0
#dieseltechnologie,0,0,0,0,1,0
#diewelle,0,0,0,0,1,0
#digitalebildung,1,0,0,0,0,0
#digitalemündigkeit,0,1,0,0,0,0
#digitales,0,0,0,1,0,0
#digitaleschule,0,0,0,0,1,0
#digitalisierung,3,1,0,1,1,0
#digitalpakt,0,0,0,0,1,0
#digitaltour,1,0,0,0,0,0
#diktatur,0,0,0,0,1,0
#discrimination,2,0,0,0,0,0
#diskriminiert,0,0,0,0,1,0
#diskriminierung,1,0,0,0,1,0
#diskrminierung,0,0,0,0,1,0
#diverse,0,0,0,0,1,0
#diversity,0,1,1,1,0,0
#diversityday,0,0,0,1,0,0
#diversitytag,1,0,0,0,0,0
#dlf,0,0,0,0,1,0
#dortmund,0,0,1,0,0,0
#dragkid,0,0,0,0,1,0
#drittesgeschlecht,0,0,0,0,1,0
#drop33,0,0,0,1,0,0
#duden,1,0,3,0,3,0
#duisburg,0,0,0,1,0,0
#düsseldorf,1,0,0,0,0,0
#econtwitter,3,0,0,0,0,0
#ehegattenspltting,1,0,0,0,0,0
#eindiverspackung,0,0,0,0,1,0
#einkommensdiskriminierung,1,0,0,0,0,0
#einmannpackung,0,0,0,0,1,0
#einwanderer,0,0,0,0,1,0
#einwanderung,0,0,0,0,3,0
#eisenberg,0,0,0,0,2,0
#ekd,0,0,0,0,2,0
#ekhn,0,0,0,0,1,0
#election2020results,0,0,0,0,1,0
#eltern,0,0,0,0,1,0
#emanuelcleaver,0,0,0,0,1,0
#emanzipation,0,1,0,0,0,0
#emek,0,1,0,0,0,0
#emissions,1,0,0,0,0,0
#endegelaende,0,1,0,0,0,0
#endsexualharassment,0,0,0,1,0,0
#energie,0,0,0,0,1,0
#energiewende,1,0,0,0,1,0
#energytransition,1,0,0,0,0,0
#entgeltgleichheit,0,1,1,0,0,0
#entgelttransparenzgesetz,2,2,0,0,0,0
#entmannt,1,0,0,0,0,0
#epa,0,0,0,0,1,0
#epd2020,0,1,0,0,0,0
#epplenary,1,0,0,0,0,0
#eqaulpayday,0,0,0,1,0,0
#equality,0,1,0,1,0,0
#equalpay,5,6,0,0,0,0
#equalpayday,9,6,5,7,1,1
#equalpayday2019,0,0,2,0,0,0
#equalpayforequalwork,0,1,0,0,0,0
#erfurt,0,0,0,0,1,0
#erholungsprämie,0,0,0,1,0,0
#esken,0,0,0,0,1,0
#esport,1,0,0,0,0,0
#esports,1,0,0,0,0,0
#eu,3,0,0,4,6,0
#eu2020de,0,0,0,3,0,0
#eu4women,0,0,0,1,0,0
#euco,0,0,0,1,0,0
#europa,0,0,0,4,0,0
#europaistdieantwort,0,0,0,3,0,0
#europarat,0,0,0,1,0,0
#europawahl,0,0,0,0,1,0
#europawahl2019,0,0,0,0,1,0
#europe,0,0,0,3,0,0
#eusocialsummit21,0,0,0,1,0,0
#evangelisch,0,0,0,0,2,0
#evangelische,0,0,0,0,1,0
#extinctionrebellion,0,1,0,0,0,0
#eşitlik,0,1,0,0,0,0
#fahrspurende,0,1,0,0,0,0
#fahrverbote,0,0,0,0,1,0
#fahrverbotskrampf,0,0,0,0,2,0
#fakenews,0,0,0,0,1,0
#familie,0,1,0,0,5,0
#familien,0,1,0,0,3,0
#familiennachzug,0,0,1,0,0,0
#faz,0,0,1,0,3,0
#fckafd,0,1,0,0,0,0
#fdp,0,0,0,0,2,0
#felixgermania,0,0,0,0,1,0
#femalefutureforce,0,0,0,0,0,1
#femininum,0,0,0,0,1,0
#feminism,0,0,0,1,0,0
#feminismus,2,8,0,1,3,0
#feminist,1,1,0,0,0,0
#feministen,0,0,0,0,2,0
#fes,0,0,0,1,0,0
#feuerwehr,0,0,0,0,4,0
#fff,0,0,0,0,1,0
#finanzpolitik,0,1,0,0,0,0
#fleischhauer,1,0,0,0,0,0
#fleischverbot,0,0,0,0,1,0
#flutkatastrophe,0,0,0,0,1,0
#flüchtlinge,0,0,0,0,1,0
#flüchtlingskosten,0,0,0,0,1,0
#forschung,3,0,0,0,1,0
#forschungsobjekt,1,0,0,0,0,0
#framing,0,0,0,0,2,0
#frankreich,0,1,0,0,1,0
#frauen,8,2,0,2,2,2
#frauenarbeitistmehrwert,0,1,0,0,0,0
#frauenfeindlich,0,1,0,0,0,0
#frauenfussball,1,0,0,0,0,0
#frauengesundheitsbericht,0,1,0,0,0,0
#frauenkampftag,1,3,0,0,0,0
#frauenmärz,1,0,0,0,0,0
#frauenquote,0,0,0,2,4,0
#frauenrechte,0,2,0,0,0,0
#frauensindmehrwert,1,0,0,0,0,0
#frauenstreik,0,1,0,0,0,0
#frauentag,5,1,1,2,0,0
#frauentag2021,0,1,0,0,0,0
#frauenverdienenmehr,1,0,0,0,0,0
#frauenwahlrecht,0,1,0,0,0,0
#frauenwm,1,0,0,0,0,0
#frauinnen,0,0,0,0,1,0
#fraupräsident,0,0,0,0,1,0
#freiewissenschaft,0,0,0,0,0,1
#freiheit,0,0,0,0,2,0
#fridaysforfuture,0,1,0,0,0,0
#frieden,1,0,0,0,0,0
#fritz,0,0,0,0,1,0
#frühsexualisierung,0,0,0,0,4,0
#führung,1,0,0,0,0,0
#fürdeutschland,1,0,0,0,0,0
#gaga,0,0,1,0,1,0
#ganzundgarnicht,0,0,0,0,1,0
#garantierente,1,0,0,0,0,0
#gefährder,0,0,1,0,0,0
#gegendemo,0,0,0,0,1,0
#gehalt,0,0,0,1,0,0
#geldindiehand,0,0,0,1,0,0
#geldverschwendung,0,0,1,0,0,0
#gemeinnuetzigkeit,0,0,1,0,0,0
#gendegaga,0,0,0,0,1,0
#gender,23,12,6,11,78,2
#gender_und_klima_gaga,0,0,0,0,1,0
#genderal,0,0,0,0,1,0
#genderaward2018,1,1,0,0,0,0
#genderaward2019,0,0,0,1,0,0
#genderbalance,0,1,0,0,0,0
#genderbasedviolence,0,1,0,0,0,0
#genderbeauftragte,1,0,0,0,0,0
#genderbekloppten,0,0,0,0,1,0
#genderblödsinn,0,0,1,0,0,0
#genderbudgeting,3,2,0,4,0,0
#gendercaregap,0,0,1,0,0,0
#genderdingsbums,0,0,0,0,1,0
#genderdiversenquote,0,0,0,0,1,0
#genderdiversity,0,0,0,0,1,0
#genderdoppelpunkt,0,0,1,0,1,0
#gendereconimics,1,0,0,0,0,0
#gendereconomics,2,0,0,0,0,0
#genderequality,4,2,0,7,0,1
#genderequity,0,3,0,0,1,0
#genderfanatiker,0,0,0,0,1,0
#genderfluid,0,0,0,0,2,0
#genderforscher,0,0,0,0,1,0
#genderforschung,5,0,0,0,4,1
#gendergaga,2,4,9,4,82,1
#gendergagas,0,0,0,0,1,0
#gendergags,0,0,0,0,1,0
#gendergap,4,2,0,1,0,0
#gendergedöns,0,0,0,0,1,0
#gendergerecht,0,0,0,1,1,0
#gendergerechte,0,0,0,0,1,0
#gendergerechtigkeit,1,2,0,0,1,0
#genderideologie,0,0,0,0,1,0
#genderinequality,1,0,0,0,0,0
#genderirrsinn,0,0,1,0,0,0
#genderism,0,0,0,0,1,0
#genderjustice,1,0,0,0,0,0
#genderkacke,0,1,0,0,0,0
#genderklo,0,0,0,0,2,0
#genderkunstsprache,0,0,1,0,0,0
#genderleadershipgap,1,0,0,0,0,0
#gendermainstreaming,0,0,0,1,1,0
#gendermarketing,0,6,0,0,0,0
#gendermedizin,0,1,0,0,0,0
#gendern,16,5,19,4,9,4
#genderneutral,0,0,0,0,2,0
#genderneutrale,0,0,0,0,1,0
#genderneutrallaws,1,0,0,0,0,0
#gendernneindanke,0,0,1,0,1,0
#genderoscargap,0,1,0,0,0,0
#genderpaygap,34,31,7,16,5,5
#genderpensiongap,2,0,0,0,0,0
#genderpricing,0,0,1,0,0,0
#genderquark,0,0,0,0,2,0
#genderquatsch,0,0,0,0,5,0
#genderreveal,0,0,0,0,1,0
#gendersinn,0,1,0,0,0,0
#genderspinner,0,0,0,0,1,0
#gendersprache,2,0,7,0,4,0
#gendersprech,0,0,1,0,0,0
#genderstar,3,0,0,0,0,0
#genderstern,1,0,5,0,0,0
#gendersternchen,4,2,6,0,7,1
#gendersternchentanten,1,0,0,0,0,0
#gendersternneindanke,0,0,1,0,0,0
#genderstotter,0,0,0,0,1,0
#genderstudies,6,6,0,0,2,1
#genderswap,0,0,0,0,1,0
#genderswapmalanders,0,1,0,0,0,0
#gendertotalitäre,0,0,0,0,1,0
#gendertrouble,0,2,0,0,0,0
#genderunfug,0,1,0,0,2,0
#genderverbot,1,5,0,0,0,0
#genderwahn,2,2,4,0,16,2
#genderwahnsinn,0,1,1,0,1,0
#genderzwang,0,0,1,0,0,0
#genderökonomie,1,0,0,0,0,0
#generaldebatte,0,0,0,0,1,0
#generischesmaskulinum,1,0,0,0,1,0
#gera,0,0,0,0,6,0
#geradejetzt,0,0,0,2,0,0
#gerechtesprache,1,0,0,0,0,0
#gerechtigkeit,1,0,0,1,0,0
#gersrb,0,0,0,0,1,0
#geschlecht,0,1,0,0,0,1
#geschlechtergerecht,0,0,0,0,1,0
#geschlechtergerechtigkeit,2,2,0,6,0,0
#geschlechtergerechtigtkeit,1,0,0,0,0,0
#geschlechtsidentitäten,0,0,0,0,1,0
#geschwätzwissenschaften,0,0,0,0,1,0
#gesellschaft,0,0,0,0,1,0
#gesetze,0,0,1,0,0,0
#gesundheitsrisikor2g,0,0,1,0,0,0
#gewaltdelikt,1,0,0,0,0,0
#gewaltenteilung,0,0,0,0,1,0
#gewerkschaften,0,0,0,0,1,0
#gez,0,0,0,0,5,0
#gezabschaffen,0,0,0,0,2,0
#gfds,0,0,1,0,0,0
#gfsa,0,0,0,0,1,0
#giffey,1,1,0,0,1,0
#girlswelcome,0,0,0,0,1,0
#gleichberechtigung,0,2,0,1,0,1
#gleicherlohn,0,0,0,1,0,0
#gleicherlohnfürgleichearbeit,0,0,2,0,0,0
#gleichstelling,0,0,0,1,0,0
#gleichstellung,1,4,0,2,1,0
#gleichstellungspolitik,1,0,0,0,0,0
#gleichstellungsstelle,0,0,1,0,0,0
#goldenerzaunpfahl,0,7,0,0,0,0
#gomringer,0,0,0,0,1,0
#google,1,0,0,0,0,0
#gott,0,0,1,0,2,0
#greendigitaldeal,1,0,0,0,0,0
#greennewdeal,1,0,0,0,0,0
#greiz,0,0,0,0,4,0
#grenzschließungen,0,0,0,0,1,0
#groko,0,1,0,0,4,0
#großbritannien,0,0,0,0,1,0
#großkonzerne,0,0,0,0,1,0
#gruene,0,0,0,0,4,0
#grueneverhindern,0,0,0,1,1,0
#grundgesetz,0,0,0,0,1,0
#grundgesetzänderung,0,0,0,0,0,1
#grundrente,0,0,0,0,1,0
#grundrentefueralle,0,0,0,0,1,0
#grölemeyers,0,0,0,0,1,0
#grün,0,0,0,0,2,0
#grüne,1,0,2,1,3,1
#grünen,1,0,5,1,4,0
#grünesbundestagswahlprogramm,0,0,0,0,1,0
#grüninnen,0,0,0,0,5,0
#gutefragenschlechteantworten,0,0,0,0,1,0
#gutmenschen,0,0,0,0,1,0
#göre,0,0,0,0,1,0
#günstlingswirtschaft,0,0,0,0,1,0
#habeck,0,0,0,0,1,0
#hamburg,0,0,0,0,1,0
#hamburghasstgesunde,0,0,0,0,1,0
#handel,0,1,0,0,0,0
#hannover,2,0,2,0,1,0
#harbarth,0,0,0,0,1,0
#hasbro,0,0,0,0,1,0
#haseloff,0,1,0,0,0,0
#hass,1,0,0,0,0,0
#hauptmann,0,0,0,0,1,0
#haushalt,0,0,0,0,1,0
#haushalt2021,0,0,0,0,1,0
#haushaltsausschuss,1,0,0,0,0,0
#haushaltsdebatte,0,0,0,0,2,0
#heforshe,0,0,0,1,0,0
#heimatderweltverbesserer,0,0,0,1,0,0
#herzensprojekt,1,0,0,0,0,0
#hetze,0,0,0,0,1,0
#hochschule,1,1,0,0,0,0
#hochschulen,0,1,0,0,0,0
#homburg,0,0,0,0,1,0
#homeoffice,1,0,0,1,0,0
#hoschule,0,1,0,0,0,0
#hpbaxxter,0,1,0,0,0,0
#humanity,0,0,0,0,0,1
#humanright,0,0,0,0,0,1
#humanrights,0,0,0,2,0,0
#hungary,1,0,0,0,0,0
#hurrawirverblöden,0,0,0,0,1,0
#hyperhyper,0,1,0,0,0,0
#hälftedermacht,1,0,0,0,0,0
#höchst,0,0,0,0,1,0
#idahobit,0,0,0,1,0,0
#idahobit2021,0,0,0,1,0,0
#ideologie,0,0,0,0,2,0
#idz,0,0,0,0,1,0
#igf2018,0,1,0,0,0,0
#ilmenau,0,0,0,0,1,0
#imgleichschrittmarsch,0,0,0,0,1,0
#indymedia,0,0,0,0,1,0
#inequality,1,0,0,0,0,0
#influencerin,0,0,0,0,1,0
#innen,0,0,0,0,3,0
#integrieren,0,0,0,0,1,0
#interessen,0,0,0,0,1,0
#internationalenfrauentag,0,0,0,1,0,0
#internationalwomensday,0,0,0,3,0,0
#intersexuell,0,1,0,0,0,0
#inworknopoverty,1,0,0,0,0,0
#irak,0,0,0,0,1,0
#irelandreferendum,1,0,0,0,0,0
#irfsummit2021,0,0,0,0,1,0
#irland,1,0,0,0,0,0
#irre,0,0,0,0,1,0
#irrergehtnichtmehr,0,0,0,0,1,0
#islam,0,0,0,0,1,0
#islamisierung,0,0,0,0,2,0
#islamismus,0,0,0,0,1,0
#island,0,2,0,0,0,0
#istanbulkonvention,0,0,0,1,0,0
#italien,1,0,0,0,0,0
#iwd,0,0,0,1,0,0
#iwd2018,0,0,0,1,0,1
#iwd2021,0,0,0,1,0,0
#iwf,0,0,0,0,2,0
#jahrderdemokratie,0,1,0,0,0,0
#jamaissanselles,0,0,0,2,0,0
#jarasch,0,0,0,0,1,0
#jesus,0,0,1,0,1,0
#jfvonheute,0,0,0,0,1,0
#ju,0,0,0,1,0,0
#jugend,0,0,0,0,1,0
#julis,0,0,0,0,1,0
#jusos,0,0,1,0,0,0
#justizministerin,0,0,1,0,0,0
#justizministerium,0,0,0,0,1,0
#justno,0,1,0,0,0,0
#justsaying,1,0,0,0,0,0
#kabulaiport,0,0,0,0,1,0
#kadın,0,1,0,0,0,0
#kampmannroth,0,0,0,2,0,0
#kandelistüberall,0,0,0,0,1,0
#kannweg,0,0,0,0,2,0
#kanzler,0,0,0,0,1,0
#kanzlerkandidatin,0,0,0,1,0,0
#kapitalismus,1,0,0,0,0,0
#karliczeknix,1,0,0,0,0,0
#karneval,0,0,0,0,2,0
#karriere,1,0,0,0,0,0
#kassel,0,0,0,0,0,1
#katholisch,0,0,1,0,1,0
#kebekus,1,0,0,0,0,0
#keingenderzwang,0,0,4,0,0,0
#keingradweiter,1,2,0,0,0,0
#ki,1,0,0,0,0,0
#kind,0,0,0,0,2,0
#kinder,0,0,0,0,2,0
#kinderarmut,1,0,0,0,0,0
#kinderinnen,0,0,0,0,2,0
#kindern,0,0,0,0,1,0
#kirche,0,0,0,0,3,0
#kita,0,1,0,0,0,0
#kitabroschüre,0,0,0,0,1,0
#klartext,0,0,0,1,0,0
#kleinermannwasnun,0,0,0,0,1,0
#klima,2,0,0,0,1,0
#klimafanatiker,0,0,0,0,1,0
#klimagerechtigkeit,1,4,0,0,0,0
#klimahysterie,0,0,0,0,1,0
#klimakrise,3,1,0,0,0,0
#klimakrisen,0,0,0,0,1,0
#klimanazis,0,0,0,0,1,0
#klimareligion,0,0,0,0,1,0
#klimaschutz,0,2,0,2,0,0
#klimasekte,0,0,0,0,1,0
#klimastreik,0,1,0,0,0,0
#klimaunsinn,0,0,0,0,1,0
#klimawahn,0,0,0,0,1,0
#klimawandel,0,0,0,0,3,0
#koalitionsvertrag,0,0,0,0,1,0
#koblenz,0,0,0,0,1,0
#konjunkturpaket,1,1,0,0,1,0
#konservativwarmal,0,0,0,0,1,0
#krampfgegenrechts,0,0,0,0,1,0
#krawallnacht,0,0,0,0,1,0
#kretschmann,0,0,0,2,0,0
#kriminalität,0,0,0,0,1,0
#ksk,0,0,0,0,2,0
#kultur,0,1,0,0,0,0
#kulturkampf,1,0,0,1,1,0
#kurtkrömer,1,0,0,0,0,0
#köln,0,0,0,0,1,0
#kühnert,0,1,0,0,0,0
#lagarde,0,0,0,0,1,0
#lambrecht,1,0,0,0,1,0
#langstreckenluisa,0,0,0,0,1,0
#le3112,1,0,0,0,0,0
#lego,0,0,0,0,2,0
#lehre,1,0,0,0,0,0
#lenin,0,0,0,0,1,0
#lesbos,0,0,0,0,1,0
#leugner,0,0,0,0,1,0
#lgbt,1,0,0,0,0,0
#lgbti,0,0,0,1,1,0
#liberalefrauen,0,0,0,0,0,1
#lieberknecht,0,0,0,0,1,0
#lieberknechtin,0,0,0,0,1,0
#lieferkettengesetz,0,1,0,0,0,0
#lindemann,0,1,0,0,0,0
#lindner,1,0,0,0,0,0
#linke,0,6,1,0,3,0
#linkebpt,0,1,0,0,0,0
#linkerfeminismus,0,2,0,0,0,0
#linkermurks,0,0,0,0,1,0
#links,0,0,0,0,3,0
#linksextremismus,0,0,0,0,1,0
#linksfraktion,0,2,0,0,0,0
#linksrotgrünerquatsch,0,0,0,0,1,0
#loblied,0,0,0,0,1,0
#lockdown,0,0,0,0,3,0
#lockdownverlaengerung,0,1,0,0,0,0
#lohnarmut,0,1,0,0,0,0
#lohngerechtigkeit,0,1,0,0,0,0
#lohnlücke,0,0,2,0,0,0
#lohnungerechtigkeit,0,0,0,1,0,0
#london,0,1,0,0,0,0
#loveislove,1,0,0,0,0,0
#lsbti,1,0,0,0,0,0
#lsbtti,1,0,0,0,0,0
#ltmv,0,0,0,0,1,0
#ltwbayern,0,0,0,0,2,0
#ltwby,0,0,0,0,2,0
#ltwby18,0,0,0,0,2,0
#ltwlsa,0,0,0,0,1,0
#ltwsa,0,1,0,0,0,0
#ltwsa21,0,0,0,0,1,0
#lufthansa,0,0,0,0,1,0
#ländlicherraum,0,0,0,0,1,0
#löschdebatte,0,0,0,0,1,0
#lübeck,0,0,1,0,1,0
#managerinnenbarometer2019,0,0,0,1,0,0
#mann,0,0,0,0,1,0
#mansplaining,0,0,0,0,1,0
#margot,1,0,0,0,0,0
#marxist,0,0,0,0,1,0
#maskulinum,0,0,0,0,1,0
#massenmigration,0,0,0,0,1,0
#mdmmus,1,0,0,0,0,0
#mdr,0,0,0,0,1,0
#medien,0,0,0,0,2,0
#medizin,0,0,0,0,1,0
#meineredezumdrittengeschlecht,0,0,0,0,1,0
#meinungsfreiheit,0,0,0,0,4,0
#menschenrechte,0,1,0,0,0,0
#menschheit,0,0,0,0,1,0
#menschrechte,1,0,0,0,0,0
#mequeer,1,0,0,0,0,0
#merkel,0,0,0,0,4,0
#merz,2,2,0,0,0,0
#metoo,0,0,0,0,1,0
#metwo,0,0,0,1,0,0
#mff,0,0,0,1,0,0
#microeconomics,1,0,0,0,0,0
#migration,0,0,0,1,2,0
#migrationspolitik,0,1,0,0,0,0
#mikroökonomie,4,0,0,0,0,0
#mindestlohn,1,0,0,0,0,0
#mini,0,0,0,0,1,0
#minister,0,1,0,0,0,0
#mint,0,0,0,0,1,1
#mintoffensive,0,0,0,0,0,1
#mitglieder,0,0,0,0,1,0
#mobbing,0,0,0,1,1,0
#mobilität,0,0,0,1,0,0
#monopoly,0,0,0,0,1,0
#motor,0,0,0,0,1,0
#msc19,0,0,0,0,0,1
#msc2019,0,0,0,0,0,1
#msm,0,0,0,0,1,0
#mukwege,0,0,0,1,0,0
#multikulti,0,0,0,0,1,0
#murad,0,0,0,1,0,0
#mussmanwissen,0,1,0,0,0,1
#mutter,0,0,0,0,2,0
#muttersprache,0,0,2,0,1,0
#mv,0,0,0,0,1,0
#myanmar,0,0,0,0,1,0
#mädchen,0,1,0,0,1,1
#männer,0,0,0,0,2,0
#nachhaltig,0,1,0,0,0,0
#nageldesign,0,0,0,0,1,0
#nahles,0,0,0,0,1,1
#nairobi,0,0,0,1,0,0
#narrenschiff,0,0,0,0,1,0
#nationalhymen,0,0,0,0,1,0
#nationalhymne,0,0,0,0,1,0
#nationalsozialismus,0,0,0,0,0,1
#naturwissenschaft,0,0,0,0,1,0
#naturwissenschaften,0,0,0,0,1,0
#nazijäger,0,0,0,0,1,0
#nba,1,0,0,0,0,0
#neokolonialismus,1,0,0,0,0,0
#netzdg,0,0,0,0,1,0
#neubauer,0,0,0,0,2,0
#neuevolkspartei,0,0,0,0,1,0
#neusprech,0,0,0,0,1,0
#neustart,0,0,1,0,0,0
#neutralitätsgebots,0,0,0,0,1,0
#nichtmehrmitgemeint,1,0,0,0,0,0
#niedergang,0,0,1,0,0,0
#niemehrcducsu,0,1,0,0,0,0
#niewiedercdu,0,0,0,0,1,0
#noafd,1,10,0,0,0,1
#nogez,0,0,0,0,1,0
#nonazis,0,1,0,0,0,0
#normal,0,0,0,1,1,0
#nowomennopeace,0,0,0,1,0,0
#nuhr,0,0,0,1,0,0
#nurdieafd,0,0,0,0,3,0
#nurnochafd,0,0,0,0,6,0
#nägelmitkoeppen,0,0,1,0,0,0
#nützlicheridiot,0,0,0,0,1,0
