Datum,A:Bildung,A:Renten,A:Ausländer & Geflüchtete,A:Umwelt & Klima,A:Soziales Gefälle,A:Corona,A:Hochwasser & Katastrophenschutz,A:Politikverdruss,A:Gesundheitswesen & Pflege,A:Arbeitslosigkeit,A:Wirtschaftslage,A:Rechte & AfD,A:Mieten/Wohnungsmarkt,gesellschaftlicher Zusammenhalt,Bundestagswahl,Infrastruktur/schnelles Internet,Institut,Frage,Link,Erhebungszeitraum,Befragte
21.01.00,2,8,6,6,2,,,44,3,59,3,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
18.02.00,2,6,7,5,3,,,51,2,54,3,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
17.03.00,4,6,9,5,3,,,28,3,66,4,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
14.04.00,5,9,12,6,3,,,21,3,67,4,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
19.05.00,5,7,13,8,2,,,10,4,67,4,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
23.06.00,4,17,13,10,3,,,6,3,58,4,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
28.07.00,2,21,11,4,3,,,11,3,55,3,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
25.08.00,3,14,10,6,2,,,7,3,52,2,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
22.09.00,3,12,8,4,2,,,6,3,38,3,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
20.10.00,2,11,14,5,2,,,6,3,46,3,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
