term,Total,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD
n,163,38.0,45.0,16.0,26.0,20.0,18.0
gaga,112,88.0,9.0,1.0,5.0,5.0,4.0
paygap,104,7.0,7.0,5.0,35.0,34.0,16.0
wahn,48,28.0,6.0,4.0,3.0,5.0,2.0
sternchen,45,10.0,19.0,3.0,6.0,5.0,2.0
equality,32,1.0,1.0,2.0,6.0,4.0,18.0
studies,30,9.0,2.0,1.0,10.0,7.0,1.0
t,25,13.0,6.0,2.0,0.0,2.0,2.0
sprache,25,7.0,8.0,3.0,2.0,4.0,1.0
gerechte,20,10.0,1.0,5.0,3.0,1.0,0.0
stern,16,5.0,5.0,3.0,1.0,2.0,0.0
pay,15,0.0,1.0,0.0,5.0,4.0,5.0
gap,14,0.0,0.0,3.0,5.0,5.0,1.0
budgeting,13,0.0,0.0,1.0,6.0,2.0,4.0
forschung,13,5.0,0.0,2.0,6.0,0.0,0.0
und,12,5.0,0.0,1.0,5.0,0.0,1.0
gerechtigkeit,11,4.0,0.0,2.0,1.0,4.0,0.0
gerecht,11,4.0,1.0,1.0,2.0,0.0,3.0
quatsch,10,10.0,0.0,0.0,0.0,0.0,0.0
https,8,2.0,0.0,0.0,4.0,2.0,0.0
verbot,8,1.0,0.0,1.0,1.0,5.0,0.0
ideologie,8,5.0,0.0,2.0,1.0,0.0,0.0
wahnsinn,7,4.0,1.0,0.0,0.0,1.0,1.0
star,7,0.0,0.0,0.0,6.0,1.0,0.0
mainstreaming,6,4.0,0.0,0.0,0.0,0.0,2.0
cc,6,0.0,0.0,0.0,5.0,1.0,0.0
marketing,6,0.0,0.0,0.0,0.0,6.0,0.0
based,6,0.0,0.0,0.0,0.0,3.0,3.0
gedöns,5,5.0,0.0,0.0,0.0,0.0,0.0
hast,5,5.0,0.0,0.0,0.0,0.0,0.0
ismus,5,5.0,0.0,0.0,0.0,0.0,0.0
p1,4,0.0,1.0,3.0,0.0,0.0,0.0
equity,4,1.0,0.0,0.0,0.0,3.0,0.0
gerechten,4,1.0,1.0,0.0,1.0,1.0,0.0
balance,4,0.0,1.0,0.0,0.0,3.0,0.0
sprech,4,3.0,1.0,0.0,0.0,0.0,0.0
ns,4,2.0,0.0,0.0,0.0,1.0,1.0
klo,4,4.0,0.0,0.0,0.0,0.0,0.0
diversity,3,1.0,0.0,0.0,0.0,2.0,0.0
zwang,3,0.0,2.0,0.0,0.0,1.0,0.0
in,3,1.0,0.0,0.0,1.0,1.0,0.0
doppelpunkt,3,1.0,2.0,0.0,0.0,0.0,0.0
neutral,3,3.0,0.0,0.0,0.0,0.0,0.0
unfug,3,2.0,0.0,0.0,0.0,1.0,0.0
economics,3,0.0,0.0,0.0,3.0,0.0,0.0
e,3,1.0,1.0,1.0,0.0,0.0,0.0
krise,3,0.0,0.0,0.0,0.0,1.0,2.0
messias,3,0.0,0.0,0.0,0.0,3.0,0.0
pensiongap,2,0.0,0.0,0.0,2.0,0.0,0.0
krieg,2,0.0,0.0,0.0,0.0,1.0,1.0
gagaisten,2,2.0,0.0,0.0,0.0,0.0,0.0
grütze,2,2.0,0.0,0.0,0.0,0.0,0.0
isten,2,1.0,0.0,0.0,0.0,1.0,0.0
neusprech,2,2.0,0.0,0.0,0.0,0.0,0.0
gerechter,2,0.0,0.0,1.0,0.0,0.0,1.0
fragen,2,0.0,1.0,0.0,1.0,0.0,0.0
forscher,2,1.0,0.0,0.0,1.0,0.0,0.0
nneindanke,2,1.0,1.0,0.0,0.0,0.0,0.0
fluid,2,2.0,0.0,0.0,0.0,0.0,0.0
neutrale,2,1.0,0.0,1.0,0.0,0.0,0.0
partei,2,1.0,0.0,1.0,0.0,0.0,0.0
_revolt,2,0.0,0.0,0.0,2.0,0.0,0.0
data,2,0.0,0.0,0.0,2.0,0.0,0.0
aspect,2,0.0,0.0,0.0,2.0,0.0,0.0
award2018,2,0.0,0.0,0.0,1.0,1.0,0.0
beauftragte,2,1.0,0.0,0.0,1.0,0.0,0.0
basierte,2,0.0,0.0,0.0,0.0,0.0,2.0
quark,2,2.0,0.0,0.0,0.0,0.0,0.0
zeichen,2,0.0,2.0,0.0,0.0,0.0,0.0
wissenschaften,2,2.0,0.0,0.0,0.0,0.0,0.0
trouble,2,0.0,0.0,0.0,0.0,2.0,0.0
unsinn,2,2.0,0.0,0.0,0.0,0.0,0.0
and,2,0.0,0.0,0.0,1.0,0.0,1.0
angemeldet,2,2.0,0.0,0.0,0.0,0.0,0.0
gags,1,1.0,0.0,0.0,0.0,0.0,0.0
econimics,1,0.0,0.0,0.0,1.0,0.0,0.0
gagas,1,1.0,0.0,0.0,0.0,0.0,0.0
basedviolence,1,0.0,0.0,0.0,0.0,1.0,0.0
führt,1,1.0,0.0,0.0,0.0,0.0,0.0
award2019,1,0.0,0.0,0.0,0.0,0.0,1.0
gepansche,1,1.0,0.0,0.0,0.0,0.0,0.0
gehört,1,0.0,0.0,0.0,0.0,1.0,0.0
aufzwingen,1,0.0,0.0,0.0,0.0,1.0,0.0
bekloppten,1,1.0,0.0,0.0,0.0,0.0,0.0
aspekten,1,1.0,0.0,0.0,0.0,0.0,0.0
al,1,1.0,0.0,0.0,0.0,0.0,0.0
gerechtes,1,1.0,0.0,0.0,0.0,0.0,0.0
adviser,1,0.0,0.0,0.0,1.0,0.0,0.0
