,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD
2017-10-24,,,,,,
2017-10-25,,,,,,
2017-10-26,,,,,,
2017-10-27,,,,,,
2017-10-28,,,,,,
2017-10-29,,,,,,
2017-10-30,,,,,,
2017-10-31,,,,,,
2017-11-01,,,,,,
2017-11-02,,,,,,
2017-11-03,,,,,,
2017-11-04,,,,,,
2017-11-05,,,,,,
2017-11-06,2.0,0.0,0.0,1.0,0.0,0.0
2017-11-07,2.0,0.0,0.0,1.0,0.0,0.0
2017-11-08,3.0,0.0,0.0,1.0,0.0,0.0
2017-11-09,4.0,0.0,0.0,1.0,0.0,0.0
2017-11-10,4.0,0.0,0.0,1.0,0.0,0.0
2017-11-11,3.0,0.0,0.0,1.0,0.0,0.0
2017-11-12,4.0,0.0,0.0,1.0,0.0,0.0
2017-11-13,4.0,0.0,0.0,1.0,0.0,0.0
2017-11-14,4.0,0.0,0.0,1.0,0.0,0.0
2017-11-15,7.0,0.0,0.0,1.0,0.0,0.0
2017-11-16,8.0,0.0,0.0,1.0,0.0,0.0
2017-11-17,9.0,0.0,0.0,1.0,0.0,0.0
2017-11-18,9.0,0.0,0.0,1.0,0.0,0.0
2017-11-19,9.0,0.0,0.0,0.0,0.0,0.0
2017-11-20,8.0,0.0,0.0,0.0,0.0,1.0
2017-11-21,8.0,0.0,0.0,0.0,2.0,1.0
2017-11-22,7.0,0.0,0.0,0.0,2.0,1.0
2017-11-23,6.0,0.0,0.0,0.0,2.0,1.0
2017-11-24,7.0,0.0,0.0,0.0,2.0,1.0
2017-11-25,7.0,0.0,0.0,0.0,2.0,2.0
2017-11-26,7.0,0.0,0.0,0.0,2.0,2.0
2017-11-27,7.0,0.0,0.0,0.0,2.0,2.0
2017-11-28,7.0,0.0,0.0,0.0,2.0,2.0
2017-11-29,4.0,0.0,0.0,0.0,2.0,2.0
2017-11-30,3.0,0.0,0.0,0.0,2.0,2.0
2017-12-01,2.0,0.0,0.0,1.0,2.0,2.0
2017-12-02,2.0,0.0,0.0,1.0,2.0,2.0
2017-12-03,2.0,0.0,0.0,1.0,2.0,2.0
2017-12-04,2.0,0.0,0.0,1.0,2.0,1.0
2017-12-05,2.0,0.0,0.0,1.0,0.0,1.0
2017-12-06,2.0,0.0,0.0,1.0,0.0,1.0
2017-12-07,2.0,0.0,0.0,1.0,1.0,1.0
2017-12-08,1.0,0.0,0.0,1.0,1.0,1.0
2017-12-09,1.0,0.0,0.0,1.0,1.0,0.0
2017-12-10,1.0,0.0,0.0,1.0,1.0,0.0
2017-12-11,1.0,0.0,0.0,1.0,1.0,0.0
2017-12-12,1.0,0.0,0.0,1.0,1.0,1.0
2017-12-13,1.0,0.0,0.0,1.0,1.0,1.0
2017-12-14,1.0,0.0,0.0,1.0,1.0,1.0
2017-12-15,1.0,0.0,0.0,0.0,1.0,1.0
2017-12-16,1.0,0.0,0.0,0.0,1.0,1.0
2017-12-17,1.0,0.0,0.0,0.0,1.0,1.0
2017-12-18,2.0,0.0,0.0,0.0,1.0,1.0
2017-12-19,2.0,0.0,0.0,0.0,1.0,1.0
2017-12-20,2.0,1.0,0.0,0.0,1.0,1.0
2017-12-21,3.0,1.0,0.0,0.0,0.0,1.0
2017-12-22,3.0,1.0,0.0,0.0,0.0,1.0
2017-12-23,4.0,1.0,1.0,0.0,0.0,1.0
2017-12-24,3.0,1.0,1.0,0.0,0.0,1.0
2017-12-25,3.0,1.0,1.0,0.0,0.0,1.0
2017-12-26,3.0,1.0,1.0,0.0,0.0,0.0
2017-12-27,3.0,1.0,1.0,0.0,0.0,0.0
2017-12-28,3.0,1.0,1.0,0.0,0.0,0.0
2017-12-29,3.0,1.0,1.0,0.0,0.0,0.0
2017-12-30,3.0,1.0,1.0,0.0,0.0,0.0
2017-12-31,3.0,1.0,1.0,0.0,0.0,0.0
2018-01-01,2.0,1.0,1.0,0.0,0.0,0.0
2018-01-02,2.0,1.0,1.0,0.0,0.0,0.0
2018-01-03,8.0,0.0,1.0,0.0,3.0,0.0
2018-01-04,7.0,1.0,1.0,0.0,3.0,0.0
2018-01-05,7.0,1.0,1.0,0.0,3.0,0.0
2018-01-06,7.0,1.0,0.0,0.0,3.0,0.0
2018-01-07,7.0,1.0,0.0,0.0,3.0,0.0
2018-01-08,7.0,1.0,0.0,1.0,4.0,0.0
2018-01-09,7.0,1.0,0.0,1.0,4.0,0.0
2018-01-10,7.0,1.0,0.0,1.0,4.0,0.0
2018-01-11,7.0,1.0,0.0,1.0,4.0,0.0
2018-01-12,7.0,1.0,0.0,1.0,4.0,0.0
2018-01-13,7.0,1.0,0.0,1.0,4.0,0.0
2018-01-14,7.0,1.0,0.0,1.0,4.0,0.0
2018-01-15,7.0,1.0,0.0,3.0,4.0,0.0
2018-01-16,7.0,1.0,0.0,3.0,4.0,0.0
2018-01-17,1.0,1.0,0.0,3.0,1.0,0.0
2018-01-18,1.0,0.0,0.0,3.0,1.0,0.0
2018-01-19,1.0,0.0,0.0,4.0,1.0,0.0
2018-01-20,0.0,0.0,0.0,4.0,1.0,0.0
2018-01-21,0.0,0.0,0.0,4.0,1.0,0.0
2018-01-22,0.0,0.0,0.0,3.0,0.0,0.0
2018-01-23,1.0,0.0,0.0,3.0,0.0,0.0
2018-01-24,1.0,0.0,0.0,3.0,0.0,0.0
2018-01-25,1.0,0.0,0.0,3.0,0.0,0.0
2018-01-26,1.0,0.0,0.0,3.0,0.0,0.0
2018-01-27,1.0,0.0,0.0,3.0,0.0,0.0
2018-01-28,1.0,0.0,0.0,3.0,0.0,0.0
2018-01-29,1.0,0.0,0.0,1.0,0.0,0.0
2018-01-30,1.0,0.0,0.0,1.0,0.0,0.0
2018-01-31,1.0,0.0,0.0,1.0,0.0,0.0
2018-02-01,2.0,0.0,0.0,1.0,0.0,0.0
2018-02-02,3.0,0.0,0.0,0.0,0.0,0.0
2018-02-03,3.0,0.0,0.0,0.0,0.0,0.0
2018-02-04,3.0,0.0,0.0,0.0,0.0,0.0
2018-02-05,3.0,0.0,0.0,0.0,0.0,0.0
2018-02-06,6.0,0.0,0.0,0.0,0.0,0.0
2018-02-07,7.0,0.0,0.0,0.0,0.0,0.0
2018-02-08,7.0,0.0,0.0,0.0,0.0,0.0
2018-02-09,7.0,0.0,0.0,0.0,0.0,0.0
