,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,topic
2017-10-24,,,,,,,Gender
2017-10-25,,,,,,,Gender
2017-10-26,,,,,,,Gender
2017-10-27,,,,,,,Gender
2017-10-28,,,,,,,Gender
2017-10-29,,,,,,,Gender
2017-10-30,1.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-10-31,1.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-01,1.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-02,1.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-03,1.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-04,0.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-05,0.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-06,1.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-07,1.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-08,2.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-09,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-10,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-11,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-12,4.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-13,3.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-14,3.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-15,5.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-16,5.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-17,6.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-18,6.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-19,5.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-20,5.0,0.0,0.0,0.0,0.0,1.0,Gender
2017-11-21,5.0,0.0,0.0,0.0,2.0,1.0,Gender
2017-11-22,2.0,0.0,0.0,0.0,2.0,1.0,Gender
2017-11-23,1.0,0.0,0.0,0.0,2.0,1.0,Gender
2017-11-24,1.0,0.0,0.0,0.0,2.0,1.0,Gender
2017-11-25,1.0,0.0,0.0,0.0,2.0,2.0,Gender
2017-11-26,2.0,0.0,0.0,0.0,2.0,2.0,Gender
