,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,topic
2017-10-24,,,,,,,Gender
2017-10-25,,,,,,,Gender
2017-10-26,,,,,,,Gender
2017-10-27,,,,,,,Gender
2017-10-28,,,,,,,Gender
2017-10-29,,,,,,,Gender
2017-10-30,,,,,,,Gender
2017-10-31,,,,,,,Gender
2017-11-01,,,,,,,Gender
2017-11-02,,,,,,,Gender
2017-11-03,,,,,,,Gender
2017-11-04,,,,,,,Gender
2017-11-05,,,,,,,Gender
2017-11-06,2.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-07,2.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-08,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-09,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-10,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-11,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-12,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-13,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-14,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-15,7.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-16,8.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-17,9.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-18,9.0,0.0,0.0,1.0,0.0,0.0,Gender
2017-11-19,9.0,0.0,0.0,0.0,0.0,0.0,Gender
2017-11-20,8.0,0.0,0.0,0.0,0.0,1.0,Gender
2017-11-21,8.0,0.0,0.0,0.0,2.0,1.0,Gender
2017-11-22,7.0,0.0,0.0,0.0,2.0,1.0,Gender
2017-11-23,6.0,0.0,0.0,0.0,2.0,1.0,Gender
2017-11-24,7.0,0.0,0.0,0.0,2.0,1.0,Gender
2017-11-25,7.0,0.0,0.0,0.0,2.0,2.0,Gender
2017-11-26,7.0,0.0,0.0,0.0,2.0,2.0,Gender
2017-11-27,7.0,0.0,0.0,0.0,2.0,2.0,Gender
2017-11-28,7.0,0.0,0.0,0.0,2.0,2.0,Gender
2017-11-29,4.0,0.0,0.0,0.0,2.0,2.0,Gender
2017-11-30,3.0,0.0,0.0,0.0,2.0,2.0,Gender
