hashtag,GRUENE,LINKE,CDUCSU,SPD,AFD,FDP
000,0,0,0,0,0,1
01,1,0,0,0,0,0
03,1,0,0,0,1,0
10,1,1,0,1,1,0
100,0,0,1,0,0,0
111,0,1,0,0,0,0
1192,0,1,0,0,0,0
12,1,2,0,0,0,0
1793,0,0,0,0,1,0
18,1,1,2,2,0,2
19,3,2,0,0,1,0
20,1,1,1,0,0,0
2000,1,1,0,0,0,0
2020,0,2,1,2,0,0
2021,1,2,0,0,2,1
20juli,0,0,0,0,1,0
20min,1,0,0,0,0,0
22,0,0,0,0,1,0
24,0,0,1,0,0,0
25,0,1,0,0,0,0
26,0,0,0,0,1,0
28,0,1,0,0,0,0
30,0,0,0,0,0,3
300,0,0,0,0,0,1
3000,0,1,0,0,0,0
31,0,1,0,0,0,0
36,0,0,0,0,1,0
40,0,0,0,1,0,0
45,1,0,0,0,0,0
50,0,0,0,1,0,0
500,0,0,0,0,0,1
60,0,1,0,0,1,0
65,0,0,0,0,1,0
69,1,0,0,1,0,0
70,0,0,0,0,1,0
80,0,0,0,0,1,0
87,0,0,1,0,0,0
8märz,0,1,0,0,0,0
90,0,0,0,0,1,0
90er,1,0,0,0,0,0
abend,0,0,0,0,2,0
abendnachrichten,0,0,0,1,0,0
abenteuerliche,0,0,0,0,1,1
aber,2,3,4,2,6,0
abgebildet,0,0,0,0,0,1
abgeordnete,0,1,0,0,0,0
abgesehen,0,1,0,0,0,0
abheben,0,0,0,0,1,0
ablehnen,1,2,2,0,0,0
ablehnung,1,1,0,0,0,0
ablenken,0,1,0,0,0,0
ablenkungsdebatte,0,1,0,0,0,0
abrackern,0,1,0,0,0,0
absage,0,0,0,0,1,0
abschaffen,0,0,0,0,0,2
abschauen,0,0,0,1,0,0
absolut,0,0,2,0,0,0
absolutheitsansprüche,1,0,0,0,0,0
abstieg,0,0,0,0,1,0
absurd,0,0,0,0,1,0
abtreibung,0,0,0,0,1,0
abwechslung,1,0,0,0,0,0
abwehrgefechten,0,0,1,0,0,0
abwenden,0,1,0,0,1,0
abwiegen,0,0,0,1,0,0
academy,1,0,0,0,0,0
achieve,0,0,0,2,0,0
additional,0,0,0,1,0,0
afd,0,0,1,2,29,0
afdbpt21,0,0,0,0,1,0
afdimbundestag,0,0,0,0,1,0
afdwirkt,0,0,0,0,1,0
afghan,0,0,0,0,1,0
afghanin,0,0,0,0,1,0
afghanistan,0,0,1,0,1,0
afrikaans,0,2,0,0,0,0
against,0,0,0,1,0,0
agenda,0,0,0,0,0,1
agieren,0,0,1,0,0,0
aka,0,1,0,0,0,0
akademisch,0,0,0,0,0,1
akademische,0,0,0,0,1,0
akt,0,0,0,0,0,1
aktionsplan,0,1,0,0,0,0
aktionswoche,0,1,0,0,0,0
aktuell,0,0,0,1,0,0
akzeptanz,0,0,0,0,1,1
akzeptieren,1,0,0,0,0,0
albern,0,0,0,0,1,0
alimentierten,0,0,0,0,1,0
all,0,0,1,1,2,1
alle,0,3,0,0,1,0
alleine,1,0,0,0,0,0
allem,0,0,1,0,0,0
allensbach,0,0,0,0,1,0
allerdings,1,0,0,0,0,0
allerschlimmsten,0,0,0,0,1,0
allesistdrin,1,0,0,0,0,0
alltag,0,0,0,0,0,2
alltagssprache,0,0,0,0,0,1
alltagssprachliche,0,0,0,0,0,2
als,0,0,1,0,0,1
also,0,1,0,1,2,0
alt,0,1,1,2,0,0
altenburgerland,0,0,0,0,4,0
alter,1,0,0,0,0,0
alternativ,0,1,1,0,1,0
altersarmut,0,2,0,0,0,0
alterweissermann,0,0,0,0,1,0
alterweißermann,1,0,0,0,0,0
altparteienpolitiker,0,0,0,0,1,0
am,0,2,0,0,1,0
ambassadors,0,0,0,2,0,0
amen,0,0,0,0,5,1
amenandawoman,0,0,0,0,4,0
amerikanische,0,0,0,0,1,0
among,0,0,0,1,0,0
amthor,0,0,0,1,0,0
amtlich,0,0,1,0,2,0
amtliche,0,0,0,0,1,0
an,0,0,2,0,0,0
analyse,0,0,2,0,0,0
anbeter,0,0,0,0,1,0
and,1,0,0,10,0,0
anerkennen,0,1,0,0,0,0
anfang,0,1,0,0,0,0
angeblich,0,0,0,0,1,0
angehörige,0,0,1,0,0,0
angemessen,0,0,0,0,1,0
angesichts,0,0,1,0,0,0
angriff,1,0,0,0,0,0
anhalt,0,0,0,0,1,0
anhebung,0,0,0,0,1,0
anja,1,0,0,0,0,0
anklicken,0,0,0,0,1,0
anknüpfen,0,1,0,0,1,0
anlass,0,0,1,0,0,0
