hashtag,GRUENE,FDP,SPD,CDUCSU,LINKE,AFD
#demokratie,1,0,1,0,1,2
#denktdochmalnach,0,0,0,0,0,1
#deutsche,0,0,1,0,0,0
#deutschesprache,0,0,1,2,0,1
#deutschland,0,0,0,1,1,7
#deutschlandabernormal,0,0,0,0,0,6
#deutschlandfunk,0,0,0,1,0,1
#dfb,0,0,0,0,0,1
#diegruenen,0,1,0,0,0,0
#diehälftedermacht,1,0,0,0,0,0
#dielinke,0,0,0,0,0,1
#diemannschaft,0,0,0,0,0,1
#diesel,0,0,0,0,0,1
#dieseltechnologie,0,0,0,0,0,1
#diewelle,0,0,0,0,0,1
#digitalebildung,1,0,0,0,0,0
#digitalemündigkeit,0,0,0,0,1,0
#digitales,0,0,1,0,0,0
#digitaleschule,0,0,0,0,0,1
#digitalisierung,3,0,1,0,1,1
#digitalpakt,0,0,0,0,0,1
#digitaltour,1,0,0,0,0,0
#diktatur,0,0,0,0,0,1
#discrimination,2,0,0,0,0,0
#diskriminiert,0,0,0,0,0,1
#diskriminierung,1,0,0,0,0,1
#diskrminierung,0,0,0,0,0,1
#diverse,0,0,0,0,0,1
#diversity,0,0,1,1,1,0
#diversityday,0,0,1,0,0,0
#diversitytag,1,0,0,0,0,0
#dlf,0,0,0,0,0,1
#dortmund,0,0,0,1,0,0
#dragkid,0,0,0,0,0,1
#drittesgeschlecht,0,0,0,0,0,1
#drop33,0,0,1,0,0,0
#duden,1,0,0,3,0,3
#duisburg,0,0,1,0,0,0
#düsseldorf,1,0,0,0,0,0
#econtwitter,3,0,0,0,0,0
#ehegattenspltting,1,0,0,0,0,0
#eindiverspackung,0,0,0,0,0,1
#einkommensdiskriminierung,1,0,0,0,0,0
#einmannpackung,0,0,0,0,0,1
#einwanderer,0,0,0,0,0,1
#einwanderung,0,0,0,0,0,3
#eisenberg,0,0,0,0,0,2
#ekd,0,0,0,0,0,2
#ekhn,0,0,0,0,0,1
#election2020results,0,0,0,0,0,1
#eltern,0,0,0,0,0,1
#emanuelcleaver,0,0,0,0,0,1
#emanzipation,0,0,0,0,1,0
#emek,0,0,0,0,1,0
#emissions,1,0,0,0,0,0
#endegelaende,0,0,0,0,1,0
#endsexualharassment,0,0,1,0,0,0
#energie,0,0,0,0,0,1
#energiewende,1,0,0,0,0,1
#energytransition,1,0,0,0,0,0
#entgeltgleichheit,0,0,0,1,1,0
#entgelttransparenzgesetz,2,0,0,0,2,0
#entmannt,1,0,0,0,0,0
#epa,0,0,0,0,0,1
#epd2020,0,0,0,0,1,0
#epplenary,1,0,0,0,0,0
#eqaulpayday,0,0,1,0,0,0
#equality,0,0,1,0,1,0
#equalpay,5,0,0,0,6,0
#equalpayday,9,1,7,5,6,1
#equalpayday2019,0,0,0,2,0,0
#equalpayforequalwork,0,0,0,0,1,0
#erfurt,0,0,0,0,0,1
#erholungsprämie,0,0,1,0,0,0
#esken,0,0,0,0,0,1
#esport,1,0,0,0,0,0
#esports,1,0,0,0,0,0
#eu,3,0,4,0,0,6
#eu2020de,0,0,3,0,0,0
#eu4women,0,0,1,0,0,0
#euco,0,0,1,0,0,0
#europa,0,0,4,0,0,0
#europaistdieantwort,0,0,3,0,0,0
#europarat,0,0,1,0,0,0
#europawahl,0,0,0,0,0,1
#europawahl2019,0,0,0,0,0,1
#europe,0,0,3,0,0,0
#eusocialsummit21,0,0,1,0,0,0
#evangelisch,0,0,0,0,0,2
#evangelische,0,0,0,0,0,1
#extinctionrebellion,0,0,0,0,1,0
#eşitlik,0,0,0,0,1,0
#fahrspurende,0,0,0,0,1,0
#fahrverbote,0,0,0,0,0,1
#fahrverbotskrampf,0,0,0,0,0,2
#fakenews,0,0,0,0,0,1
#familie,0,0,0,0,1,5
#familien,0,0,0,0,1,3
#familiennachzug,0,0,0,1,0,0
#faz,0,0,0,1,0,3
#fckafd,0,0,0,0,1,0
#fdp,0,0,0,0,0,2
#felixgermania,0,0,0,0,0,1
#femalefutureforce,0,1,0,0,0,0
#femininum,0,0,0,0,0,1
#feminism,0,0,1,0,0,0
#feminismus,2,0,1,0,8,3
#feminist,1,0,0,0,1,0
#feministen,0,0,0,0,0,2
#fes,0,0,1,0,0,0
#feuerwehr,0,0,0,0,0,4
#fff,0,0,0,0,0,1
#finanzpolitik,0,0,0,0,1,0
#fleischhauer,1,0,0,0,0,0
#fleischverbot,0,0,0,0,0,1
#flutkatastrophe,0,0,0,0,0,1
#flüchtlinge,0,0,0,0,0,1
#flüchtlingskosten,0,0,0,0,0,1
#forschung,3,0,0,0,0,1
#forschungsobjekt,1,0,0,0,0,0
#framing,0,0,0,0,0,2
#frankreich,0,0,0,0,1,1
#frauen,8,2,2,0,2,2
#frauenarbeitistmehrwert,0,0,0,0,1,0
#frauenfeindlich,0,0,0,0,1,0
#frauenfussball,1,0,0,0,0,0
#frauengesundheitsbericht,0,0,0,0,1,0
#frauenkampftag,1,0,0,0,3,0
#frauenmärz,1,0,0,0,0,0
#frauenquote,0,0,2,0,0,4
#frauenrechte,0,0,0,0,2,0
#frauensindmehrwert,1,0,0,0,0,0
#frauenstreik,0,0,0,0,1,0
#frauentag,5,0,2,1,1,0
#frauentag2021,0,0,0,0,1,0
#frauenverdienenmehr,1,0,0,0,0,0
#frauenwahlrecht,0,0,0,0,1,0
#frauenwm,1,0,0,0,0,0
#frauinnen,0,0,0,0,0,1
#fraupräsident,0,0,0,0,0,1
#freiewissenschaft,0,1,0,0,0,0
#freiheit,0,0,0,0,0,2
#fridaysforfuture,0,0,0,0,1,0
#frieden,1,0,0,0,0,0
#fritz,0,0,0,0,0,1
#frühsexualisierung,0,0,0,0,0,4
#führung,1,0,0,0,0,0
#fürdeutschland,1,0,0,0,0,0
#gaga,0,0,0,1,0,1
#ganzundgarnicht,0,0,0,0,0,1
#garantierente,1,0,0,0,0,0
#gefährder,0,0,0,1,0,0
#gegendemo,0,0,0,0,0,1
#gehalt,0,0,1,0,0,0
#geldindiehand,0,0,1,0,0,0
#geldverschwendung,0,0,0,1,0,0
#gemeinnuetzigkeit,0,0,0,1,0,0
#gendegaga,0,0,0,0,0,1
#gender,23,2,11,6,12,78
#gender_und_klima_gaga,0,0,0,0,0,1
#genderal,0,0,0,0,0,1
#genderaward2018,1,0,0,0,1,0
#genderaward2019,0,0,1,0,0,0
#genderbalance,0,0,0,0,1,0
#genderbasedviolence,0,0,0,0,1,0
#genderbeauftragte,1,0,0,0,0,0
#genderbekloppten,0,0,0,0,0,1
#genderblödsinn,0,0,0,1,0,0
#genderbudgeting,3,0,4,0,2,0
#gendercaregap,0,0,0,1,0,0
#genderdingsbums,0,0,0,0,0,1
#genderdiversenquote,0,0,0,0,0,1
#genderdiversity,0,0,0,0,0,1
#genderdoppelpunkt,0,0,0,1,0,1
#gendereconimics,1,0,0,0,0,0
#gendereconomics,2,0,0,0,0,0
#genderequality,4,1,7,0,2,0
#genderequity,0,0,0,0,3,1
#genderfanatiker,0,0,0,0,0,1
#genderfluid,0,0,0,0,0,2
#genderforscher,0,0,0,0,0,1
#genderforschung,5,1,0,0,0,4
#gendergaga,2,1,4,9,4,82
#gendergagas,0,0,0,0,0,1
#gendergags,0,0,0,0,0,1
#gendergap,4,0,1,0,2,0
#gendergedöns,0,0,0,0,0,1
#gendergerecht,0,0,1,0,0,1
#gendergerechte,0,0,0,0,0,1
#gendergerechtigkeit,1,0,0,0,2,1
#genderideologie,0,0,0,0,0,1
#genderinequality,1,0,0,0,0,0
#genderirrsinn,0,0,0,1,0,0
#genderism,0,0,0,0,0,1
#genderjustice,1,0,0,0,0,0
#genderkacke,0,0,0,0,1,0
#genderklo,0,0,0,0,0,2
#genderkunstsprache,0,0,0,1,0,0
#genderleadershipgap,1,0,0,0,0,0
#gendermainstreaming,0,0,1,0,0,1
#gendermarketing,0,0,0,0,6,0
#gendermedizin,0,0,0,0,1,0
#gendern,16,4,4,19,5,9
#genderneutral,0,0,0,0,0,2
#genderneutrale,0,0,0,0,0,1
#genderneutrallaws,1,0,0,0,0,0
#gendernneindanke,0,0,0,1,0,1
#genderoscargap,0,0,0,0,1,0
#genderpaygap,34,5,16,7,31,5
#genderpensiongap,2,0,0,0,0,0
#genderpricing,0,0,0,1,0,0
#genderquark,0,0,0,0,0,2
#genderquatsch,0,0,0,0,0,5
#genderreveal,0,0,0,0,0,1
#gendersinn,0,0,0,0,1,0
#genderspinner,0,0,0,0,0,1
#gendersprache,2,0,0,7,0,4
#gendersprech,0,0,0,1,0,0
#genderstar,3,0,0,0,0,0
#genderstern,1,0,0,5,0,0
#gendersternchen,4,1,0,6,2,7
#gendersternchentanten,1,0,0,0,0,0
#gendersternneindanke,0,0,0,1,0,0
#genderstotter,0,0,0,0,0,1
#genderstudies,6,1,0,0,6,2
#genderswap,0,0,0,0,0,1
#genderswapmalanders,0,0,0,0,1,0
#gendertotalitäre,0,0,0,0,0,1
#gendertrouble,0,0,0,0,2,0
#genderunfug,0,0,0,0,1,2
#genderverbot,1,0,0,0,5,0
#genderwahn,2,2,0,4,2,16
#genderwahnsinn,0,0,0,1,1,1
#genderzwang,0,0,0,1,0,0
#genderökonomie,1,0,0,0,0,0
#generaldebatte,0,0,0,0,0,1
#generischesmaskulinum,1,0,0,0,0,1
#gera,0,0,0,0,0,6
#geradejetzt,0,0,2,0,0,0
#gerechtesprache,1,0,0,0,0,0
#gerechtigkeit,1,0,1,0,0,0
#gersrb,0,0,0,0,0,1
#geschlecht,0,1,0,0,1,0
#geschlechtergerecht,0,0,0,0,0,1
#geschlechtergerechtigkeit,2,0,6,0,2,0
#geschlechtergerechtigtkeit,1,0,0,0,0,0
#geschlechtsidentitäten,0,0,0,0,0,1
#geschwätzwissenschaften,0,0,0,0,0,1
#gesellschaft,0,0,0,0,0,1
#gesetze,0,0,0,1,0,0
#gesundheitsrisikor2g,0,0,0,1,0,0
#gewaltdelikt,1,0,0,0,0,0
#gewaltenteilung,0,0,0,0,0,1
#gewerkschaften,0,0,0,0,0,1
#gez,0,0,0,0,0,5
#gezabschaffen,0,0,0,0,0,2
#gfds,0,0,0,1,0,0
#gfsa,0,0,0,0,0,1
#giffey,1,0,0,0,1,1
#girlswelcome,0,0,0,0,0,1
#gleichberechtigung,0,1,1,0,2,0
#gleicherlohn,0,0,1,0,0,0
#gleicherlohnfürgleichearbeit,0,0,0,2,0,0
#gleichstelling,0,0,1,0,0,0
#gleichstellung,1,0,2,0,4,1
#gleichstellungspolitik,1,0,0,0,0,0
#gleichstellungsstelle,0,0,0,1,0,0
#goldenerzaunpfahl,0,0,0,0,7,0
#gomringer,0,0,0,0,0,1
#google,1,0,0,0,0,0
#gott,0,0,0,1,0,2
#greendigitaldeal,1,0,0,0,0,0
#greennewdeal,1,0,0,0,0,0
#greiz,0,0,0,0,0,4
#grenzschließungen,0,0,0,0,0,1
#groko,0,0,0,0,1,4
#großbritannien,0,0,0,0,0,1
#großkonzerne,0,0,0,0,0,1
#gruene,0,0,0,0,0,4
#grueneverhindern,0,0,1,0,0,1
#grundgesetz,0,0,0,0,0,1
#grundgesetzänderung,0,1,0,0,0,0
#grundrente,0,0,0,0,0,1
#grundrentefueralle,0,0,0,0,0,1
#grölemeyers,0,0,0,0,0,1
#grün,0,0,0,0,0,2
#grüne,1,1,1,2,0,3
#grünen,1,0,1,5,0,4
#grünesbundestagswahlprogramm,0,0,0,0,0,1
#grüninnen,0,0,0,0,0,5
#gutefragenschlechteantworten,0,0,0,0,0,1
#gutmenschen,0,0,0,0,0,1
#göre,0,0,0,0,0,1
#günstlingswirtschaft,0,0,0,0,0,1
#habeck,0,0,0,0,0,1
#hamburg,0,0,0,0,0,1
#hamburghasstgesunde,0,0,0,0,0,1
#handel,0,0,0,0,1,0
#hannover,2,0,0,2,0,1
#harbarth,0,0,0,0,0,1
#hasbro,0,0,0,0,0,1
#haseloff,0,0,0,0,1,0
#hass,1,0,0,0,0,0
#hauptmann,0,0,0,0,0,1
#haushalt,0,0,0,0,0,1
#haushalt2021,0,0,0,0,0,1
#haushaltsausschuss,1,0,0,0,0,0
#haushaltsdebatte,0,0,0,0,0,2
#heforshe,0,0,1,0,0,0
#heimatderweltverbesserer,0,0,1,0,0,0
#herzensprojekt,1,0,0,0,0,0
#hetze,0,0,0,0,0,1
#hochschule,1,0,0,0,1,0
#hochschulen,0,0,0,0,1,0
#homburg,0,0,0,0,0,1
#homeoffice,1,0,1,0,0,0
#hoschule,0,0,0,0,1,0
#hpbaxxter,0,0,0,0,1,0
#humanity,0,1,0,0,0,0
#humanright,0,1,0,0,0,0
#humanrights,0,0,2,0,0,0
#hungary,1,0,0,0,0,0
#hurrawirverblöden,0,0,0,0,0,1
#hyperhyper,0,0,0,0,1,0
#hälftedermacht,1,0,0,0,0,0
#höchst,0,0,0,0,0,1
#idahobit,0,0,1,0,0,0
#idahobit2021,0,0,1,0,0,0
#ideologie,0,0,0,0,0,2
#idz,0,0,0,0,0,1
#igf2018,0,0,0,0,1,0
#ilmenau,0,0,0,0,0,1
#imgleichschrittmarsch,0,0,0,0,0,1
#indymedia,0,0,0,0,0,1
#inequality,1,0,0,0,0,0
#influencerin,0,0,0,0,0,1
#innen,0,0,0,0,0,3
#integrieren,0,0,0,0,0,1
#interessen,0,0,0,0,0,1
#internationalenfrauentag,0,0,1,0,0,0
#internationalwomensday,0,0,3,0,0,0
#intersexuell,0,0,0,0,1,0
#inworknopoverty,1,0,0,0,0,0
#irak,0,0,0,0,0,1
#irelandreferendum,1,0,0,0,0,0
#irfsummit2021,0,0,0,0,0,1
#irland,1,0,0,0,0,0
#irre,0,0,0,0,0,1
#irrergehtnichtmehr,0,0,0,0,0,1
#islam,0,0,0,0,0,1
#islamisierung,0,0,0,0,0,2
#islamismus,0,0,0,0,0,1
#island,0,0,0,0,2,0
#istanbulkonvention,0,0,1,0,0,0
#italien,1,0,0,0,0,0
#iwd,0,0,1,0,0,0
#iwd2018,0,1,1,0,0,0
#iwd2021,0,0,1,0,0,0
#iwf,0,0,0,0,0,2
#jahrderdemokratie,0,0,0,0,1,0
#jamaissanselles,0,0,2,0,0,0
#jarasch,0,0,0,0,0,1
#jesus,0,0,0,1,0,1
#jfvonheute,0,0,0,0,0,1
#ju,0,0,1,0,0,0
#jugend,0,0,0,0,0,1
#julis,0,0,0,0,0,1
#jusos,0,0,0,1,0,0
#justizministerin,0,0,0,1,0,0
#justizministerium,0,0,0,0,0,1
#justno,0,0,0,0,1,0
#justsaying,1,0,0,0,0,0
#kabulaiport,0,0,0,0,0,1
#kadın,0,0,0,0,1,0
#kampmannroth,0,0,2,0,0,0
#kandelistüberall,0,0,0,0,0,1
#kannweg,0,0,0,0,0,2
#kanzler,0,0,0,0,0,1
#kanzlerkandidatin,0,0,1,0,0,0
#kapitalismus,1,0,0,0,0,0
#karliczeknix,1,0,0,0,0,0
#karneval,0,0,0,0,0,2
#karriere,1,0,0,0,0,0
#kassel,0,1,0,0,0,0
#katholisch,0,0,0,1,0,1
#kebekus,1,0,0,0,0,0
#keingenderzwang,0,0,0,4,0,0
#keingradweiter,1,0,0,0,2,0
#ki,1,0,0,0,0,0
#kind,0,0,0,0,0,2
#kinder,0,0,0,0,0,2
#kinderarmut,1,0,0,0,0,0
#kinderinnen,0,0,0,0,0,2
#kindern,0,0,0,0,0,1
#kirche,0,0,0,0,0,3
#kita,0,0,0,0,1,0
#kitabroschüre,0,0,0,0,0,1
#klartext,0,0,1,0,0,0
#kleinermannwasnun,0,0,0,0,0,1
#klima,2,0,0,0,0,1
#klimafanatiker,0,0,0,0,0,1
#klimagerechtigkeit,1,0,0,0,4,0
#klimahysterie,0,0,0,0,0,1
#klimakrise,3,0,0,0,1,0
#klimakrisen,0,0,0,0,0,1
#klimanazis,0,0,0,0,0,1
#klimareligion,0,0,0,0,0,1
#klimaschutz,0,0,2,0,2,0
#klimasekte,0,0,0,0,0,1
#klimastreik,0,0,0,0,1,0
#klimaunsinn,0,0,0,0,0,1
#klimawahn,0,0,0,0,0,1
#klimawandel,0,0,0,0,0,3
#koalitionsvertrag,0,0,0,0,0,1
#koblenz,0,0,0,0,0,1
#konjunkturpaket,1,0,0,0,1,1
#konservativwarmal,0,0,0,0,0,1
#krampfgegenrechts,0,0,0,0,0,1
#krawallnacht,0,0,0,0,0,1
#kretschmann,0,0,2,0,0,0
#kriminalität,0,0,0,0,0,1
#ksk,0,0,0,0,0,2
#kultur,0,0,0,0,1,0
#kulturkampf,1,0,1,0,0,1
#kurtkrömer,1,0,0,0,0,0
#köln,0,0,0,0,0,1
#kühnert,0,0,0,0,1,0
#lagarde,0,0,0,0,0,1
#lambrecht,1,0,0,0,0,1
#langstreckenluisa,0,0,0,0,0,1
#le3112,1,0,0,0,0,0
#lego,0,0,0,0,0,2
#lehre,1,0,0,0,0,0
#lenin,0,0,0,0,0,1
#lesbos,0,0,0,0,0,1
#leugner,0,0,0,0,0,1
#lgbt,1,0,0,0,0,0
#lgbti,0,0,1,0,0,1
#liberalefrauen,0,1,0,0,0,0
#lieberknecht,0,0,0,0,0,1
#lieberknechtin,0,0,0,0,0,1
#lieferkettengesetz,0,0,0,0,1,0
#lindemann,0,0,0,0,1,0
#lindner,1,0,0,0,0,0
#linke,0,0,0,1,6,3
#linkebpt,0,0,0,0,1,0
#linkerfeminismus,0,0,0,0,2,0
#linkermurks,0,0,0,0,0,1
#links,0,0,0,0,0,3
#linksextremismus,0,0,0,0,0,1
#linksfraktion,0,0,0,0,2,0
#linksrotgrünerquatsch,0,0,0,0,0,1
#loblied,0,0,0,0,0,1
#lockdown,0,0,0,0,0,3
#lockdownverlaengerung,0,0,0,0,1,0
#lohnarmut,0,0,0,0,1,0
#lohngerechtigkeit,0,0,0,0,1,0
#lohnlücke,0,0,0,2,0,0
#lohnungerechtigkeit,0,0,1,0,0,0
#london,0,0,0,0,1,0
#loveislove,1,0,0,0,0,0
#lsbti,1,0,0,0,0,0
#lsbtti,1,0,0,0,0,0
#ltmv,0,0,0,0,0,1
#ltwbayern,0,0,0,0,0,2
#ltwby,0,0,0,0,0,2
#ltwby18,0,0,0,0,0,2
#ltwlsa,0,0,0,0,0,1
#ltwsa,0,0,0,0,1,0
#ltwsa21,0,0,0,0,0,1
#lufthansa,0,0,0,0,0,1
#ländlicherraum,0,0,0,0,0,1
#löschdebatte,0,0,0,0,0,1
#lübeck,0,0,0,1,0,1
#managerinnenbarometer2019,0,0,1,0,0,0
#mann,0,0,0,0,0,1
#mansplaining,0,0,0,0,0,1
#margot,1,0,0,0,0,0
#marxist,0,0,0,0,0,1
#maskulinum,0,0,0,0,0,1
#massenmigration,0,0,0,0,0,1
#mdmmus,1,0,0,0,0,0
#mdr,0,0,0,0,0,1
#medien,0,0,0,0,0,2
#medizin,0,0,0,0,0,1
#meineredezumdrittengeschlecht,0,0,0,0,0,1
#meinungsfreiheit,0,0,0,0,0,4
#menschenrechte,0,0,0,0,1,0
#menschheit,0,0,0,0,0,1
#menschrechte,1,0,0,0,0,0
#mequeer,1,0,0,0,0,0
#merkel,0,0,0,0,0,4
#merz,2,0,0,0,2,0
#metoo,0,0,0,0,0,1
#metwo,0,0,1,0,0,0
#mff,0,0,1,0,0,0
#microeconomics,1,0,0,0,0,0
#migration,0,0,1,0,0,2
#migrationspolitik,0,0,0,0,1,0
#mikroökonomie,4,0,0,0,0,0
#mindestlohn,1,0,0,0,0,0
#mini,0,0,0,0,0,1
#minister,0,0,0,0,1,0
#mint,0,1,0,0,0,1
#mintoffensive,0,1,0,0,0,0
#mitglieder,0,0,0,0,0,1
#mobbing,0,0,1,0,0,1
#mobilität,0,0,1,0,0,0
#monopoly,0,0,0,0,0,1
#motor,0,0,0,0,0,1
#msc19,0,1,0,0,0,0
#msc2019,0,1,0,0,0,0
#msm,0,0,0,0,0,1
#mukwege,0,0,1,0,0,0
#multikulti,0,0,0,0,0,1
#murad,0,0,1,0,0,0
#mussmanwissen,0,1,0,0,1,0
#mutter,0,0,0,0,0,2
#muttersprache,0,0,0,2,0,1
#mv,0,0,0,0,0,1
#myanmar,0,0,0,0,0,1
#mädchen,0,1,0,0,1,1
#männer,0,0,0,0,0,2
#nachhaltig,0,0,0,0,1,0
#nageldesign,0,0,0,0,0,1
#nahles,0,1,0,0,0,1
#nairobi,0,0,1,0,0,0
#narrenschiff,0,0,0,0,0,1
#nationalhymen,0,0,0,0,0,1
#nationalhymne,0,0,0,0,0,1
#nationalsozialismus,0,1,0,0,0,0
#naturwissenschaft,0,0,0,0,0,1
#naturwissenschaften,0,0,0,0,0,1
#nazijäger,0,0,0,0,0,1
#nba,1,0,0,0,0,0
#neokolonialismus,1,0,0,0,0,0
#netzdg,0,0,0,0,0,1
#neubauer,0,0,0,0,0,2
#neuevolkspartei,0,0,0,0,0,1
#neusprech,0,0,0,0,0,1
#neustart,0,0,0,1,0,0
#neutralitätsgebots,0,0,0,0,0,1
#nichtmehrmitgemeint,1,0,0,0,0,0
#niedergang,0,0,0,1,0,0
#niemehrcducsu,0,0,0,0,1,0
#niewiedercdu,0,0,0,0,0,1
#noafd,1,1,0,0,10,0
#nogez,0,0,0,0,0,1
#nonazis,0,0,0,0,1,0
#normal,0,0,1,0,0,1
#nowomennopeace,0,0,1,0,0,0
#nuhr,0,0,1,0,0,0
#nurdieafd,0,0,0,0,0,3
#nurnochafd,0,0,0,0,0,6
#nägelmitkoeppen,0,0,0,1,0,0
#nützlicheridiot,0,0,0,0,0,1
