hashtag,GRUENE,FDP,SPD,CDUCSU,LINKE,AFD
00,0,0,0,0,1,4
000,0,1,0,0,4,1
01,1,0,0,0,0,2
021,0,0,0,0,0,1
03,1,0,0,0,0,3
04,0,0,0,0,0,1
06,0,0,0,0,0,1
07,0,0,0,0,0,1
08,0,0,0,0,0,2
08märz,0,0,0,0,1,0
09,0,0,0,0,0,2
10,2,1,1,0,1,5
100,0,1,0,3,4,1
1000,0,0,0,0,2,0
1008,0,0,0,0,1,0
10jährigen,1,0,0,0,0,0
11,0,0,0,0,0,1
111,0,0,0,0,1,0
1192,0,0,0,0,1,0
12,1,0,0,0,2,3
1207445,1,0,0,0,0,0
13,1,0,0,0,0,0
14,0,0,0,0,0,1
15,0,0,0,0,0,1
16,0,0,1,0,0,0
17,0,0,0,0,2,0
179,0,0,0,0,0,1
1793,0,0,0,0,0,1
18,1,2,2,2,2,2
1800bn,0,0,2,0,0,0
181,1,0,0,0,0,0
186,0,0,0,0,0,1
19,4,0,1,0,4,6
190,0,0,0,0,0,1
1989,0,0,0,0,1,0
1st,0,0,1,0,0,0
20,1,0,0,1,3,1
200,0,0,0,0,0,1
2000,1,0,0,0,1,0
2007,1,0,0,0,0,0
2008,0,0,0,0,1,0
201,1,0,0,0,0,0
2011,0,0,0,0,1,0
2013,0,0,0,0,1,1
2014,0,0,0,0,1,0
2016,0,0,0,0,1,0
2018,0,0,0,0,1,3
2019,2,0,0,1,5,3
2020,2,1,2,1,4,2
2020ern,0,0,0,1,0,0
2021,1,1,0,0,2,3
2021bundestagswahlen,0,0,0,0,0,1
20jahren,0,0,0,0,0,1
20juli,0,0,0,0,0,1
20min,1,0,0,0,0,0
21,5,1,2,0,3,4
218,0,0,0,0,1,0
219a,0,0,0,0,1,0
219amussweg,1,0,0,0,0,0
22,0,0,0,0,1,3
23,0,0,0,0,1,0
24,0,0,0,1,0,0
25,0,0,0,0,3,0
250,0,0,1,0,0,0
26,0,0,0,0,0,2
27,0,0,0,0,1,1
275,0,0,0,0,1,0
28,0,0,0,0,2,0
30,0,3,0,0,0,1
300,1,1,0,0,0,0
3000,0,0,0,0,1,0
30jahreeinheit,0,0,0,0,1,0
31,0,0,0,0,2,0
314,0,0,0,0,1,0
3257894326387,0,0,0,0,0,1
33,0,0,1,0,0,0
34,0,0,0,0,1,2
35,1,0,0,0,0,0
36,0,0,0,0,0,1
39,0,0,0,0,1,0
40,0,0,1,0,0,0
45,1,0,0,0,0,0
48,0,0,0,0,1,0
4genderstudies,5,0,0,0,3,0
50,2,0,2,0,1,6
500,1,1,0,0,1,0
60,0,0,0,0,1,2
65,0,0,0,0,1,1
68,0,0,0,0,0,1
69,1,0,1,0,1,0
70,1,0,0,0,0,1
73,0,0,0,0,0,1
74,0,0,0,0,1,0
7429,0,0,0,0,1,0
75,0,0,0,0,1,1
80,0,0,0,0,1,1
83,0,0,0,0,0,1
86453,0,0,0,0,0,1
86609,0,0,0,0,0,1
87,0,0,0,1,0,0
8maerz,1,0,0,0,0,0
8märz,0,0,0,0,2,0
90,0,0,0,0,1,1
90er,1,0,0,0,0,0
aas,0,0,0,0,0,1
ab,0,1,0,0,0,1
abafazi,0,0,0,0,1,0
abarbeiten,0,0,0,1,0,0
abbau,1,0,0,0,0,0
abbauen,1,0,0,1,0,0
abend,0,0,0,0,1,2
abendnachrichten,0,0,1,0,0,0
abenteuerliche,0,1,0,0,0,1
aber,7,0,4,4,3,15
abfinden,1,0,0,0,0,0
abgeben,0,0,1,0,0,0
abgebildet,0,1,0,0,0,0
abgehoben,0,0,0,0,0,1
abgeordnete,1,0,1,0,1,0
abgesehen,0,0,0,0,1,0
abgewirtschaftet,0,0,0,0,0,1
abgrund,0,0,0,0,0,1
abhauen,0,0,0,0,0,1
abheben,0,0,0,0,0,1
abhängig,0,0,0,0,0,1
ablehnen,2,1,1,4,2,0
ablehnung,1,0,0,0,1,0
ablenken,0,0,0,0,1,0
ablenkungsdebatte,0,0,0,0,1,0
about,0,0,0,0,2,0
abrackern,0,0,0,0,1,0
abrüstungsdebatte,1,0,0,0,0,0
absage,0,0,0,0,0,1
abschaffen,2,2,0,0,1,1
abschaffung,0,0,0,0,1,1
abschauen,0,0,1,0,0,0
abschluss,0,0,0,0,1,0
abschluß,1,0,0,0,0,1
abschmettern,1,0,0,0,0,0
absicht,1,0,0,0,0,0
absofort,0,0,0,0,0,1
absolut,0,0,0,2,1,0
absolutheitsansprüche,1,0,0,0,0,0
absolventen,0,0,0,0,1,0
abstehen,1,0,0,0,0,0
abstieg,0,0,0,0,0,1
abstimmen,0,0,0,0,1,0
abstimmung,0,0,0,0,1,0
abstrafen,0,0,0,0,0,1
abstraktebilder,0,0,0,0,0,1
abstruse,0,0,0,0,0,1
absurd,0,0,0,0,3,3
absurdistan,0,0,0,2,0,0
abtreibung,0,0,0,0,0,1
abtreibungsgegner,0,0,0,0,1,0
abwechslung,1,0,0,0,0,0
abwehrgefechten,0,0,0,1,0,0
abweichend,0,0,1,0,0,0
abwenden,0,0,0,0,1,1
abwiegen,0,0,1,0,0,0
abwrackprämie,0,0,1,0,0,0
academic,1,0,0,0,0,0
academy,1,0,0,0,0,0
access,0,0,1,0,1,0
accessibility,0,0,0,0,1,0
account,0,0,0,0,1,0
accounts,0,0,0,0,2,0
ach,0,0,0,0,1,1
achieve,1,0,2,0,0,0
achtung,0,0,1,0,0,0
across,0,0,1,0,0,0
activism,0,0,1,0,0,0
activist,1,0,0,0,0,0
activists,0,0,1,0,0,0
adabsurdum,0,0,0,0,0,1
adac,0,0,0,0,0,1
adam,0,0,0,0,0,1
additional,0,0,1,0,0,0
addressing,0,0,1,0,0,0
adeln,0,0,0,1,0,0
adviser,1,0,0,0,0,0
afd,6,2,5,2,6,84
afdbpt21,0,0,0,0,0,1
afdimbundestag,0,0,0,0,0,11
afdwirkt,0,0,0,0,0,12
afdwählen,0,0,0,0,0,3
affairs,0,0,1,0,0,0
afghan,0,0,0,0,0,1
afghanin,0,0,0,0,0,1
afghanistan,0,0,0,1,0,1
africa,0,0,0,0,2,0
afrikaans,0,0,0,0,2,0
afrikanisch,0,0,0,0,0,1
afrikanische,0,0,0,0,0,1
after,0,1,0,0,1,0
afternoon,1,0,0,0,0,0
again,0,0,2,0,1,0
against,0,0,2,0,1,0
agency,1,0,0,0,0,0
agenda,0,1,1,1,0,2
agieren,0,0,0,1,0,1
agree,0,0,1,0,0,0
agreement,0,0,2,0,0,0
ahistorisch,0,0,1,0,0,0
ahnden,0,0,1,0,0,0
ahnen,0,0,0,0,0,1
ahnung,0,0,0,0,0,2
ahnungslos,1,0,0,0,0,0
ahoi,0,0,0,0,0,1
aka,0,0,0,0,1,0
akademisch,0,1,0,0,0,0
akademische,0,0,0,0,0,1
akk,0,1,0,0,0,2
akt,0,1,0,0,0,0
aktion,0,0,0,0,0,2
aktionsplan,0,0,0,0,1,0
aktionswoche,0,0,0,0,1,0
aktiv,0,0,0,0,2,1
aktivistinnen,0,0,0,0,1,0
aktuell,2,1,1,1,1,3
akzeptanz,0,1,0,0,0,1
akzeptieren,1,0,0,0,0,0
akşamlı,0,0,0,0,1,0
alaaf,0,0,0,0,0,1
alarmismus,0,0,0,0,0,1
albern,0,0,0,0,0,1
alerta,1,0,0,0,0,0
alexy,0,0,0,0,0,1
algorithmen,1,0,0,0,0,0
alimentierten,0,0,0,0,0,1
all,2,1,2,1,2,4
alle,0,0,0,1,3,4
alleine,1,0,0,0,1,0
alleinerziehend,0,0,0,0,1,0
alleinerziehende,0,0,0,0,1,0
allem,0,0,0,1,0,0
allensbach,0,0,0,0,0,1
allenthalben,0,0,0,0,0,1
aller,1,0,0,0,0,0
allerdings,1,0,0,0,0,0
allerschlimmsten,0,0,0,0,0,1
allerwichtigste,0,0,0,0,0,1
allesistdrin,1,0,0,0,0,0
alleviate,0,0,1,0,0,0
allgemeinverbindlichkeit,1,0,0,0,0,0
allies,0,0,1,0,0,0
alltag,0,2,0,0,0,0
alltagssprache,0,1,0,0,0,0
alltagssprachliche,0,2,0,0,0,0
als,1,1,0,2,2,4
also,3,0,1,0,1,5
alt,2,1,2,1,2,4
altenburgerland,0,0,0,0,0,4
altenpflege,1,0,0,0,0,0
alter,1,0,0,0,0,0
altern,0,0,0,0,1,0
alternativ,1,0,0,2,1,3
alternative,0,0,0,0,0,1
altersarmut,0,0,1,0,4,0
alterung,0,0,0,0,0,1
alterweissermann,0,0,0,0,0,1
alterweißermann,1,0,0,0,0,0
altparteien,0,0,0,0,0,2
altparteienpolitiker,0,0,0,0,0,1
alumni,0,0,0,0,1,0
always,0,0,1,0,1,0
am,0,0,1,0,3,5
amazing,0,0,2,0,0,0
ambassadors,0,0,2,0,0,0
ambitioniert,1,0,0,0,0,0
ambitious,0,0,1,0,0,0
ambitiously,0,0,1,0,0,0
amen,0,1,0,0,0,5
amenandawoman,0,0,0,0,0,4
amerikanische,0,0,0,0,0,1
aminext,0,0,0,0,1,0
among,0,0,1,0,0,0
ampelzeichen,0,0,0,0,1,0
amthor,0,0,1,0,0,0
amtlich,0,0,0,1,0,3
amtliche,0,0,0,0,0,1
amtseid,0,0,0,0,0,1
amtskirchen,0,0,0,0,0,2
amy,0,1,0,0,0,0
an,1,1,0,2,0,2
analog,0,0,1,0,0,0
analyse,2,1,0,3,0,0
anbeter,0,0,0,0,0,1
anbetracht,0,0,0,0,0,1
and,12,1,24,1,10,0
ander,0,0,0,0,1,3
andersdenkender,0,0,0,0,0,1
andersgläubige,0,0,0,0,0,1
andersherum,1,0,0,0,0,0
anderslautende,0,0,0,0,0,1
andrea,0,0,0,0,0,1
android,0,0,0,1,0,0
anerkannt,0,0,0,1,0,0
anerkennen,0,0,0,0,2,0
anfang,0,0,0,1,2,3
anfangen,0,0,0,0,1,0
anfangs,0,1,0,0,0,0
anfeindung,1,0,0,0,0,0
anfrage,0,0,0,0,0,3
anfragen,2,0,0,0,0,1
angabe,0,0,0,0,0,1
angeblich,2,0,0,0,2,2
angebot,0,0,0,0,0,1
angehörige,0,0,0,1,0,0
angemessen,0,0,0,0,0,1
angenommen,0,0,0,0,1,0
angesehen,0,0,0,0,0,1
angesichts,1,0,0,1,0,0
anglizismen,0,0,0,0,0,1
anglizismus,1,1,0,1,0,0
anglizismus2018,2,0,0,0,0,0
angriff,3,0,0,0,3,1
angst,2,0,0,0,0,0
anhalt,0,0,0,0,0,6
anhebung,0,0,0,0,0,1
anheim,0,0,0,0,0,1
anhängen,0,0,0,0,0,1
anhänger,0,0,0,0,0,1
anhören,0,0,0,0,1,0
anihrentatensollenwirsiemessen,1,0,0,0,0,0
anja,1,0,0,0,0,0
anklicken,0,0,0,0,0,1
anknüpfen,0,0,0,0,1,1
ankommen,0,0,0,0,0,4
anlass,0,0,0,1,0,0
anlauf,1,0,0,0,0,0
anleitung,0,0,0,0,0,1
anliegen,1,0,0,0,0,1
anlässlich,1,0,0,0,0,0
anmahnen,0,0,0,0,0,1
anmaßen,0,0,0,0,0,1
anmelden,1,0,0,0,0,3
anmeldung,0,1,0,0,1,1
annalena,0,0,0,1,0,1
annehmen,0,0,0,0,0,1
annewill,2,0,0,1,0,3
annika,1,0,0,0,0,0
announce,0,0,1,0,0,0
annoyed,0,0,0,0,1,0
anpassen,1,0,0,0,0,0
anprangern,0,0,0,0,0,1
anreden,0,0,0,0,0,1
anreiz,1,0,0,0,0,0
anreizen,1,0,0,0,0,0
ans,2,0,0,0,0,0
anschauen,1,0,1,1,0,0
anscheinen,0,0,1,0,0,0
anschließend,0,0,0,0,0,1
anschreiben,0,0,0,0,0,1
anschuldigung,0,0,0,0,1,0
ansehen,0,1,0,0,0,1
ansicht,0,0,1,1,0,0
ansonsten,0,0,0,2,0,1
ansprache,0,0,0,0,0,1
ansprechen,1,0,0,1,1,0
anspruch,2,0,0,0,0,1
anstandleben,0,0,1,0,0,0
anstatt,0,0,0,0,1,3
anstrengen,0,1,0,0,0,0
antarktisch,0,0,0,0,0,1
anteil,0,0,1,0,0,0
anthropologische,0,0,0,0,0,1
anti,2,0,0,0,2,1
antiaufklärerisch,0,0,0,0,0,1
antidiskriminierung,0,0,0,0,0,1
antifa,0,0,0,0,1,5
antifeministischen,0,0,1,0,0,0
antirassisten,0,0,0,0,0,1
antisexismus,0,0,0,0,0,1
antje,0,1,0,0,0,0
